street,crimes during out,crimes in buffer,rate,long,lat
10325 S DR MARTIN LUTHER KING JR DR,0,3,0.0,-87.61375528683823,41.70685425125115
10326 S DR MARTIN LUTHER KING JR DR,0,3,0.0,-87.61375475946764,41.706835860980576
10327 S SANGAMON ST,0,1,0.0,-87.6464652763447,41.70638695236393
1033 N AVERS AVE,0,4,0.0,-87.72254964918102,41.89966061734554
10333 S BENSLEY AVE,0,3,0.0,-87.56329384968667,41.70754560079091
10335 S BENSLEY AVE,0,3,0.0,-87.5632935331776,41.707510745810644
10341 S UNION AVE,0,2,0.0,-87.64038308615973,41.70619411277237
10347 S LOWE AVE,0,2,0.0,-87.63916829955217,41.70618027108684
10348 S AVENUE G,0,1,0.0,-87.53165954449595,41.70733044995702
1036 N MAYFIELD AVE,0,3,0.0,-87.77283876313372,41.89905153405042
10361 S UNION AVE,0,1,0.0,-87.64037187636498,41.70582589243384
1037 N LAVERGNE AVE,0,1,0.0,-87.75081243842008,41.899617257145174
104 E 26TH ST,0,2,0.0,-87.62334125867946,41.84564268671541
104 N HOYNE AVE,0,1,0.0,-87.67913433684784,41.88324079869923
10400 S HALSTED ST,1,2,0.5,-87.64277758620042,41.705095108088344
10400 S RHODES AVE,0,4,0.0,-87.61006001001356,41.7055433998303
10401 S EWING AVE,0,1,0.0,-87.53528576768026,41.70637312907388
1041 E 45TH ST,0,1,0.0,-87.60034713655467,41.813244790809506
10410 S NORMAL AVE,0,1,0.0,-87.63551423244324,41.70500701694008
10411 S CORLISS AVE,0,3,0.0,-87.60394992268223,41.705300141712996
10411 S PEORIA ST,0,1,0.0,-87.64520267542655,41.70487223904104
10413 S MAPLEWOOD AVE,0,1,0.0,-87.68526158012138,41.70413671962181
10416 S SEELEY AVE,0,1,0.0,-87.67296488631287,41.704388393357895
10418 S CLAREMONT AVE,0,1,0.0,-87.68034041443865,41.7042288112391
10418 S RHODES AVE,0,1,0.0,-87.6100453467758,41.70501303685543
10420 S WALDEN PKWY,0,1,0.0,-87.66940694563209,41.704290057633344
10421 S CORLISS AVE,0,3,0.0,-87.6039408560322,41.704994898114094
10426 S TORRENCE AVE,0,3,0.0,-87.5596405444235,41.70592200414842
1043 W 92ND PL,0,1,0.0,-87.64968995680599,41.72594766408919
10432 S HOXIE AVE,0,2,0.0,-87.56085311883461,41.705815334595364
10432 S TROY ST,0,1,0.0,-87.70008449390271,41.70377517105089
10437 S PEORIA ST,0,2,0.0,-87.64518800158186,41.70439381500608
10439 S SANGAMON ST,0,1,0.0,-87.64640262319193,41.70434566461904
1044 W 18TH ST,0,2,0.0,-87.65321191258523,41.857999391586674
10441 S SANGAMON ST,0,3,0.0,-87.64640154986056,41.70430888422056
